id vx vy
240 -0.0197833 -0.04701
112 -0.00578069 0.0323379
170 0.0666571 0.0122796
67 0.0178669 0.0685111
278 -0.03499 -0.0174778
118 -0.0215307 -0.0414419
9 0.0231784 -0.018756
233 -0.0247331 -0.0137505
329 -0.0321882 0.0350974
228 0.0366606 0.0121036
221 -0.0103971 -0.0304781
113 -0.0142366 -0.0126475
63 -0.037159 0.0304461
294 0.00857774 0.00742176
197 -0.0665676 0.0021032
68 0.0117673 0.0323561
204 0.0440672 0.0187817
359 -0.0455906 -0.0589612
191 0.0011001 0.0480678
29 -0.0199917 -0.0462272
335 0.00139569 0.0494549
218 0.00232547 0.00975006
95 -0.0360946 0.0247267
385 0.00150045 -0.00468717
183 0.0114645 0.0199164
88 0.0371315 -0.0598879
291 0.0104371 0.0346096
7 0.00665716 -0.0197569
220 -0.0217872 -0.0192354
215 0.0549999 0.0174319
79 -0.01861 -0.0398032
135 0.00787588 -0.000962926
36 -0.0151379 0.00877857
60 -0.0220847 -0.0159472
141 0.0437405 -0.00259673
384 0.00860592 0.0119231
16 -0.0187847 0.00141463
263 -0.0180102 -0.025717
195 0.00377591 -0.00783426
42 0.0191035 0.0369728
279 0.0147509 0.0141384
196 0.0270354 -0.00272771
356 0.011725 -0.0754495
393 -0.0173601 0.0146805
396 0.00739244 0.0177882
84 0.0104338 -0.0518073
301 -0.0138697 -0.0314896
58 -0.0625526 -0.00321264
271 -0.0351322 0.00672651
75 0.00717073 -0.0534441
187 0.0126734 -0.0186593
137 0.00563152 0.0386403
194 0.0543147 -0.0207284
23 0.0291894 -0.0110125
179 0.000422824 0.0073311
168 -0.0206573 0.0132562
124 -0.0015269 0.0560726
119 0.00267336 0.000624939
22 -0.0411197 0.0156866
92 0.0632568 0.0297728
226 0.0209797 -0.0576017
212 0.0474748 -0.0117439
266 -0.0207465 -0.0405114
116 -0.00512938 0.0166436
192 0.0232965 0.00114142
121 -0.014967 -0.0199981
73 -0.00951646 -0.0200223
182 -0.0125258 -0.00620001
193 -0.0307259 -0.0163803
50 -0.0241678 -0.057035
202 -0.0314523 0.0308081
366 -0.035246 -0.0368214
245 -0.0171257 -0.0343081
358 -0.00724668 -0.0129317
142 0.0138663 -0.020509
364 0.0410224 -0.00725109
104 -0.044697 -0.00859231
128 0.017781 0.00600886
234 0.0247614 0.0273334
49 -0.0073471 0.0391208
184 0.00562713 0.0207463
338 -0.0287379 -0.0356796
310 0.0303089 -0.00775013
250 0.00673787 -0.000678345
285 -0.0274254 -0.0905584
126 -0.0234134 -0.0109498
163 -0.0427859 0.0189091
156 -0.0199123 -0.00140585
360 0.00489527 -0.0122796
269 0.0228757 0.0555005
100 -0.00940753 0.0207504
103 0.0198929 -0.0518203
143 0.0099617 -0.0881027
154 0.0396397 -0.0116661
367 -0.000485978 0.0222572
201 0.0491088 0.058088
342 -0.021836 -0.00226307
41 -0.00189979 -0.0455858
38 0.00337097 0.00838162
133 0.023821 0.00633955
378 0.0451653 -0.0249068
146 -0.00286283 0.0162909
213 0.0538526 0.00442126
347 0.0591283 0.0308545
230 0.0734489 -0.047372
203 -0.0504752 -0.0167715
111 -9.00081e-05 0.0331185
188 -0.0234582 0.016395
172 -0.0121683 0.0276091
238 0.00574133 0.0314726
302 -0.00306714 -0.0573452
216 -0.00200758 -0.00570172
35 0.0349808 -0.00104617
281 -0.0469992 -0.0386511
354 -0.0272783 0.00670275
45 -0.010383 0.03145
199 0.0479505 -0.0352978
87 0.0201021 -0.0358468
148 0.00248095 -0.0391287
205 -0.0201748 0.00877576
386 -0.00149396 -0.0686205
15 -0.0320519 0.0152714
159 -0.00815633 -0.00371528
353 0.0253785 -0.0106019
381 0.000784785 -0.0543301
21 0.0425371 -0.0330484
131 -0.0352398 0.0131925
237 -0.0100788 0.0284623
276 -0.00356732 -0.0332702
